Date,Mkt-RF,SMB,HML,RF
2014-10-01,2.52,4.2,-1.81,0.0
2014-11-01,2.55,-2.06,-3.09,0.0
2014-12-01,-0.06,2.49,2.27,0.0
2015-01-01,-3.11,-0.55,-3.58,0.0
2015-02-01,6.13,0.61,-1.86,0.0
2015-03-01,-1.12,3.04,-0.37,0.0
2015-04-01,0.59,-3.03,1.82,0.0
2015-05-01,1.36,0.92,-1.14,0.0
2015-06-01,-1.53,2.9,-0.79,0.0
2015-07-01,1.54,-4.19,-4.13,0.0
2015-08-01,-6.04,0.33,2.77,0.0
2015-09-01,-3.07,-2.63,0.56,0.0
2015-10-01,7.75,-1.87,-0.46,0.0
2015-11-01,0.56,3.59,-0.42,0.0
2015-12-01,-2.17,-2.82,-2.61,0.01
2016-01-01,-5.77,-3.43,2.09,0.01
2016-02-01,-0.07,0.71,-0.57,0.02
2016-03-01,6.96,0.82,1.19,0.02
2016-04-01,0.91,0.74,3.28,0.01
2016-05-01,1.78,-0.18,-1.66,0.01
2016-06-01,-0.05,0.6,-1.48,0.02
2016-07-01,3.95,2.51,-1.27,0.02
2016-08-01,0.49,1.18,3.13,0.02
2016-09-01,0.25,2.13,-1.23,0.02
2016-10-01,-2.02,-4.42,4.12,0.02
2016-11-01,4.86,5.67,8.19,0.01
2016-12-01,1.81,0.08,3.56,0.03
2017-01-01,1.94,-1.14,-2.76,0.04
2017-02-01,3.57,-2.02,-1.68,0.04
2017-03-01,0.17,1.14,-3.32,0.03
2017-04-01,1.09,0.72,-2.1,0.05
2017-05-01,1.06,-2.52,-3.78,0.06
2017-06-01,0.78,2.23,1.48,0.06
2017-07-01,1.87,-1.46,-0.24,0.07
2017-08-01,0.16,-1.67,-2.09,0.09
2017-09-01,2.51,4.46,3.12,0.09
2017-10-01,2.25,-1.93,0.21,0.09
2017-11-01,3.12,-0.58,-0.08,0.08
2017-12-01,1.06,-1.32,0.05,0.09
2018-01-01,5.57,-3.15,-1.33,0.12
2018-02-01,-3.65,0.23,-1.07,0.11
2018-03-01,-2.35,4.05,-0.23,0.11
2018-04-01,0.28,1.14,0.54,0.14
2018-05-01,2.65,5.26,-3.18,0.14
2018-06-01,0.48,1.15,-2.33,0.14
2018-07-01,3.19,-2.22,0.47,0.16
2018-08-01,3.44,1.12,-3.99,0.16
2018-09-01,0.06,-2.28,-1.69,0.15
2018-10-01,-7.68,-4.77,3.44,0.19
2018-11-01,1.69,-0.68,0.27,0.18
2018-12-01,-9.57,-2.38,-1.86,0.2
2019-01-01,8.4,2.9,-0.45,0.21
2019-02-01,3.4,2.05,-2.68,0.18
2019-03-01,1.1,-3.03,-4.1,0.19
2019-04-01,3.97,-1.74,2.14,0.21
2019-05-01,-6.94,-1.31,-2.34,0.21
2019-06-01,6.93,0.28,-0.72,0.18
2019-07-01,1.19,-1.93,0.47,0.19
2019-08-01,-2.58,-2.36,-4.76,0.16
2019-09-01,1.43,-0.97,6.74,0.18
2019-10-01,2.06,0.29,-1.92,0.16
2019-11-01,3.87,0.78,-2.01,0.12
2019-12-01,2.77,0.73,1.76,0.14
2020-01-01,-0.11,-3.1,-6.22,0.13
2020-02-01,-8.13,1.07,-3.79,0.12
2020-03-01,-13.39,-4.88,-13.97,0.13
2020-04-01,13.65,2.49,-1.23,0.0
2020-05-01,5.58,2.48,-4.89,0.01
2020-06-01,2.46,2.7,-2.17,0.01
2020-07-01,5.77,-2.32,-1.38,0.01
2020-08-01,7.63,-0.22,-2.95,0.01
2020-09-01,-3.63,0.04,-2.68,0.01
2020-10-01,-2.1,4.36,4.21,0.01
2020-11-01,12.47,5.82,2.14,0.01
2020-12-01,4.63,4.89,-1.51,0.01
2021-01-01,-0.03,7.34,2.96,0.01
2021-02-01,2.78,2.06,7.18,0.0
2021-03-01,3.08,-2.37,7.4,0.0
2021-04-01,4.93,-3.19,-0.94,0.0
2021-05-01,0.29,-0.25,7.08,0.0
2021-06-01,2.75,1.7,-7.82,0.0
2021-07-01,1.27,-3.99,-1.76,0.0
2021-08-01,2.91,-0.43,-0.16,0.0
2021-09-01,-4.37,0.72,5.08,0.0
2021-10-01,6.65,-2.35,-0.48,0.0
2021-11-01,-1.55,-1.32,-0.44,0.0
2021-12-01,3.1,-1.66,3.28,0.01
2022-01-01,-6.25,-5.94,12.75,0.0
2022-02-01,-2.29,2.23,3.04,0.0
2022-03-01,3.05,-1.6,-1.8,0.01
2022-04-01,-9.46,-1.41,6.19,0.01
2022-05-01,-0.34,-1.85,8.41,0.03
2022-06-01,-8.43,2.09,-5.97,0.06
2022-07-01,9.57,2.81,-4.1,0.08
2022-08-01,-3.78,1.39,0.31,0.19
